unit_id:ID(LegalUnit),document_id,parent_unit_id,unit_type,unit_no,title,text,effective_date,raw_key,:LABEL
law:spec_financial_transaction_act:heading:1,law:spec_financial_transaction_act,,heading,1,,제1장 총칙 <신설 2020.3.24>,20240719,0001000,LegalUnit
law:spec_financial_transaction_act:article:1,law:spec_financial_transaction_act,,article,1,목적,제1조(목적) 이 법은 금융거래 등을 이용한 자금세탁행위와 공중협박자금조달행위를 규제하는 데 필요한 특정금융거래정보의 보고 및 이용 등에 관한 사항을 규정함으로써 범죄행위를 예방하고 나아가 건전하고 투명한 금융거래 질서를 확립하는 데 이바지함을 목적으로 한다. <개정 2020.3.24>,20240719,0001001,LegalUnit
law:spec_financial_transaction_act:article:2,law:spec_financial_transaction_act,,article,2,정의,"제2조(정의) 이 법에서 사용하는 용어의 뜻은 다음과 같다. <개정 2011.5.19, 2013.8.13, 2014.5.28, 2016.5.29, 2020.3.24, 2020.5.19, 2023.7.18>",20240719,0002001,LegalUnit
law:spec_financial_transaction_act:item:2_1,law:spec_financial_transaction_act,law:spec_financial_transaction_act:article:2,item,1.,,"1. ""금융회사등""이란 다음 각 목의 자를 말한다.",20240719,0002001,LegalUnit
law:spec_financial_transaction_act:subitem:2_1_가,law:spec_financial_transaction_act,law:spec_financial_transaction_act:item:2_1,subitem,가.,,가. 「한국산업은행법」에 따른 한국산업은행,20240719,0002001,LegalUnit
law:spec_financial_transaction_act:subitem:2_1_나,law:spec_financial_transaction_act,law:spec_financial_transaction_act:item:2_1,subitem,나.,,나. 「한국수출입은행법」에 따른 한국수출입은행,20240719,0002001,LegalUnit
law:spec_financial_transaction_act:subitem:2_1_다,law:spec_financial_transaction_act,law:spec_financial_transaction_act:item:2_1,subitem,다.,,다. 「중소기업은행법」에 따른 중소기업은행,20240719,0002001,LegalUnit
law:spec_financial_transaction_act:subitem:2_1_라,law:spec_financial_transaction_act,law:spec_financial_transaction_act:item:2_1,subitem,라.,,라. 「은행법」에 따른 은행,20240719,0002001,LegalUnit
law:spec_financial_transaction_act:subitem:2_1_마,law:spec_financial_transaction_act,law:spec_financial_transaction_act:item:2_1,subitem,마.,,"마. 「자본시장과 금융투자업에 관한 법률」에 따른 투자매매업자, 투자중개업자, 집합투자업자, 신탁업자, 증권금융회사, 종합금융회사 및 명의개서대행회사",20240719,0002001,LegalUnit
law:spec_financial_transaction_act:subitem:2_1_바,law:spec_financial_transaction_act,law:spec_financial_transaction_act:item:2_1,subitem,바.,,바. 「상호저축은행법」에 따른 상호저축은행과 상호저축은행중앙회,20240719,0002001,LegalUnit
law:spec_financial_transaction_act:subitem:2_1_사,law:spec_financial_transaction_act,law:spec_financial_transaction_act:item:2_1,subitem,사.,,사. 「농업협동조합법」에 따른 조합과 농협은행,20240719,0002001,LegalUnit
law:spec_financial_transaction_act:subitem:2_1_아,law:spec_financial_transaction_act,law:spec_financial_transaction_act:item:2_1,subitem,아.,,아. 「수산업협동조합법」에 따른 조합과 수협은행,20240719,0002001,LegalUnit
law:spec_financial_transaction_act:subitem:2_1_자,law:spec_financial_transaction_act,law:spec_financial_transaction_act:item:2_1,subitem,자.,,자. 「신용협동조합법」에 따른 신용협동조합과 신용협동조합중앙회,20240719,0002001,LegalUnit
law:spec_financial_transaction_act:subitem:2_1_차,law:spec_financial_transaction_act,law:spec_financial_transaction_act:item:2_1,subitem,차.,,차. 「새마을금고법」에 따른 금고와 중앙회,20240719,0002001,LegalUnit
law:spec_financial_transaction_act:subitem:2_1_카,law:spec_financial_transaction_act,law:spec_financial_transaction_act:item:2_1,subitem,카.,,카. 「보험업법」에 따른 보험회사,20240719,0002001,LegalUnit
law:spec_financial_transaction_act:subitem:2_1_타,law:spec_financial_transaction_act,law:spec_financial_transaction_act:item:2_1,subitem,타.,,타. 「우체국예금ㆍ보험에 관한 법률」에 따른 체신관서,20240719,0002001,LegalUnit
law:spec_financial_transaction_act:subitem:2_1_파,law:spec_financial_transaction_act,law:spec_financial_transaction_act:item:2_1,subitem,파.,,"파. 「관광진흥법」에 따라 허가를 받아 카지노업을 하는 카지노 사업자(이하 ""카지노사업자""라 한다)",20240719,0002001,LegalUnit
law:spec_financial_transaction_act:subitem:2_1_하,law:spec_financial_transaction_act,law:spec_financial_transaction_act:item:2_1,subitem,하.,,"하. 「가상자산 이용자 보호 등에 관한 법률」 제2조제2호에 따른 가상자산사업자(이하 ""가상자산사업자""라 한다)",20240719,0002001,LegalUnit
law:spec_financial_transaction_act:subitem:2_1_거,law:spec_financial_transaction_act,law:spec_financial_transaction_act:item:2_1,subitem,거.,,거. 제2호에 따른 금융거래등을 하는 자로서 대통령령으로 정하는 자,20240719,0002001,LegalUnit
law:spec_financial_transaction_act:item:2_2,law:spec_financial_transaction_act,law:spec_financial_transaction_act:article:2,item,2.,,"2. ""금융거래등""이란 다음 각 목의 것을 말한다.",20240719,0002001,LegalUnit
law:spec_financial_transaction_act:subitem:2_2_가,law:spec_financial_transaction_act,law:spec_financial_transaction_act:item:2_2,subitem,가.,,"가. 금융회사등이 금융자산(「금융실명거래 및 비밀보장에 관한 법률」 제2조제2호에 따른 금융자산을 말한다)을 수입ㆍ매매ㆍ환매ㆍ중개ㆍ할인ㆍ발행ㆍ상환ㆍ환급ㆍ수탁ㆍ등록ㆍ교환하거나 그 이자ㆍ할인액 또는 배당을 지급하는 것과 이를 대행하는 것, 그 밖에 금융자산을 대상으로 하는 거래로서 총리령으로 정하는 것",20240719,0002001,LegalUnit
law:spec_financial_transaction_act:subitem:2_2_나,law:spec_financial_transaction_act,law:spec_financial_transaction_act:item:2_2,subitem,나.,,"나. 「자본시장과 금융투자업에 관한 법률」에 따른 파생상품시장에서의 거래, 그 밖에 대통령령으로 정하는 것",20240719,0002001,LegalUnit
law:spec_financial_transaction_act:subitem:2_2_다,law:spec_financial_transaction_act,law:spec_financial_transaction_act:item:2_2,subitem,다.,,다. 카지노사업자의 영업장에서 현금 또는 수표를 대신하여 쓰이는 것으로서 대통령령으로 정하는 것과 현금 또는 수표를 교환하는 거래,20240719,0002001,LegalUnit
law:spec_financial_transaction_act:subitem:2_2_라,law:spec_financial_transaction_act,law:spec_financial_transaction_act:item:2_2,subitem,라.,,"라. 가상자산사업자가 「가상자산 이용자 보호 등에 관한 법률」에 따라 수행하는 업무(이하 ""가상자산거래""라 한다)",20240719,0002001,LegalUnit
law:spec_financial_transaction_act:item:2_3,law:spec_financial_transaction_act,law:spec_financial_transaction_act:article:2,item,3.,,"3. ""가상자산""이란 「가상자산 이용자 보호 등에 관한 법률」 제2조제1호에 따른 가상자산을 말한다.",20240719,0002001,LegalUnit
law:spec_financial_transaction_act:item:2_4,law:spec_financial_transaction_act,law:spec_financial_transaction_act:article:2,item,4.,,"4. ""불법재산""이란 다음 각 목의 것을 말한다.",20240719,0002001,LegalUnit
law:spec_financial_transaction_act:subitem:2_4_가,law:spec_financial_transaction_act,law:spec_financial_transaction_act:item:2_4,subitem,가.,,가. 「범죄수익은닉의 규제 및 처벌 등에 관한 법률」 제2조제4호에 따른 범죄수익등,20240719,0002001,LegalUnit
law:spec_financial_transaction_act:subitem:2_4_나,law:spec_financial_transaction_act,law:spec_financial_transaction_act:item:2_4,subitem,나.,,나. 「마약류 불법거래 방지에 관한 특례법」 제2조제5항에 따른 불법수익등,20240719,0002001,LegalUnit
law:spec_financial_transaction_act:subitem:2_4_다,law:spec_financial_transaction_act,law:spec_financial_transaction_act:item:2_4,subitem,다.,,다. 「공중 등 협박목적 및 대량살상무기확산을 위한 자금조달행위의 금지에 관한 법률」 제2조제1호에 따른 공중협박자금,20240719,0002001,LegalUnit
law:spec_financial_transaction_act:item:2_5,law:spec_financial_transaction_act,law:spec_financial_transaction_act:article:2,item,5.,,"5. ""자금세탁행위""란 다음 각 목의 행위를 말한다.",20240719,0002001,LegalUnit
law:spec_financial_transaction_act:subitem:2_5_가,law:spec_financial_transaction_act,law:spec_financial_transaction_act:item:2_5,subitem,가.,,가. 「범죄수익은닉의 규제 및 처벌 등에 관한 법률」 제3조에 따른 범죄행위,20240719,0002001,LegalUnit
law:spec_financial_transaction_act:subitem:2_5_나,law:spec_financial_transaction_act,law:spec_financial_transaction_act:item:2_5,subitem,나.,,나. 「마약류 불법거래 방지에 관한 특례법」 제7조에 따른 범죄행위,20240719,0002001,LegalUnit
law:spec_financial_transaction_act:subitem:2_5_다,law:spec_financial_transaction_act,law:spec_financial_transaction_act:item:2_5,subitem,다.,,"다. 「조세범 처벌법」 제3조, 「관세법」 제270조, 「지방세기본법」 제102조 또는 「특정범죄 가중처벌 등에 관한 법률」 제8조의 죄를 범할 목적 또는 세법에 따라 납부하여야 하는 조세(「지방세기본법」에 따른 지방세를 포함한다. 이하 같다)를 탈루할 목적으로 재산의 취득ㆍ처분 또는 발생 원인에 관한 사실을 가장(假裝)하거나 그 재산을 은닉하는 행위",20240719,0002001,LegalUnit
law:spec_financial_transaction_act:item:2_6,law:spec_financial_transaction_act,law:spec_financial_transaction_act:article:2,item,6.,,"6. ""공중협박자금조달행위""란 「공중 등 협박목적 및 대량살상무기확산을 위한 자금조달행위의 금지에 관한 법률」 제6조제1항의 죄에 해당하는 행위를 말한다.",20240719,0002001,LegalUnit
law:spec_financial_transaction_act:article:3,law:spec_financial_transaction_act,,article,3,금융정보분석원,제3조(금융정보분석원),20240719,0003001,LegalUnit
law:spec_financial_transaction_act:paragraph:3,law:spec_financial_transaction_act,law:spec_financial_transaction_act:article:3,paragraph,①,,"① 다음 각 호의 업무를 효율적으로 수행하기 위하여 금융위원회 소속으로 금융정보분석원을 둔다. <개정 2014.5.28, 2019.1.15, 2020.3.24, 2021.12.28>",20240719,0003001,LegalUnit
law:spec_financial_transaction_act:item:3_1,law:spec_financial_transaction_act,law:spec_financial_transaction_act:paragraph:3,item,1.,,1. 제4조ㆍ제4조의2 및 제9조에 따라 보고받거나 통보받은 사항의 정리ㆍ분석 및 제공,20240719,0003001,LegalUnit
law:spec_financial_transaction_act:item:3_2,law:spec_financial_transaction_act,law:spec_financial_transaction_act:paragraph:3,item,2.,,2. 제4조ㆍ제4조의2ㆍ제5조ㆍ제5조의2ㆍ제5조의3ㆍ제5조의4 및 제8조에 따라 금융회사등이 수행하는 업무에 대한 감독 및 검사,20240719,0003001,LegalUnit
law:spec_financial_transaction_act:item:3_3,law:spec_financial_transaction_act,law:spec_financial_transaction_act:paragraph:3,item,3.,,3. 제4조제6항제2호에 따른 외국금융정보분석기구와의 협조 및 정보 교환,20240719,0003001,LegalUnit
law:spec_financial_transaction_act:item:3_4,law:spec_financial_transaction_act,law:spec_financial_transaction_act:paragraph:3,item,4.,,4. 제7조에 따른 가상자산사업자의 신고에 관한 업무,20240719,0003001,LegalUnit
law:spec_financial_transaction_act:item:3_5,law:spec_financial_transaction_act,law:spec_financial_transaction_act:paragraph:3,item,5.,,5. 제15조의2에 따른 외국 금융감독ㆍ검사기관과의 협조 및 정보교환,20240719,0003001,LegalUnit
law:spec_financial_transaction_act:item:3_6,law:spec_financial_transaction_act,law:spec_financial_transaction_act:paragraph:3,item,6.,,6. 「공중 등 협박목적 및 대량살상무기확산을 위한 자금조달행위의 금지에 관한 법률」에 따른 업무,20240719,0003001,LegalUnit
law:spec_financial_transaction_act:item:3_7,law:spec_financial_transaction_act,law:spec_financial_transaction_act:paragraph:3,item,7.,,7. 제1호부터 제6호까지의 업무와 관련된 업무로서 대통령령으로 정하는 업무,20240719,0003001,LegalUnit
law:spec_financial_transaction_act:paragraph:3,law:spec_financial_transaction_act,law:spec_financial_transaction_act:article:3,paragraph,②,,"② 금융정보분석원은 그 권한에 속하는 사무를 독립적으로 수행하며, 그 소속 공무원은 이 법과 「공중 등 협박목적 및 대량살상무기확산을 위한 자금조달행위의 금지에 관한 법률」에 따른 업무 외에 다른 업무에 종사하지 못한다. <개정 2014.5.28>",20240719,0003001,LegalUnit
law:spec_financial_transaction_act:paragraph:3,law:spec_financial_transaction_act,law:spec_financial_transaction_act:article:3,paragraph,③,,"③ 금융정보분석원의 정원(다른 기관 소속 공무원의 정원을 포함한다)ㆍ조직 및 운영 등에 필요한 사항은 업무의 독립성, 정치적 중립성 등을 고려하여 대통령령으로 정한다. <개정 2013.8.13>",20240719,0003001,LegalUnit
law:spec_financial_transaction_act:paragraph:3,law:spec_financial_transaction_act,law:spec_financial_transaction_act:article:3,paragraph,④,,"④ 금융정보분석원의 장(이하 ""금융정보분석원장""이라 한다)은 제1항의 업무 수행과 관련하여 다음 각 호의 사항을 매년 정기국회에 보고하여야 한다. <개정 2013.8.13, 2020.3.24>",20240719,0003001,LegalUnit
law:spec_financial_transaction_act:item:3_1,law:spec_financial_transaction_act,law:spec_financial_transaction_act:paragraph:3,item,1.,,1. 제4조에 따라 금융회사등으로부터 보고를 받은 건수,20240719,0003001,LegalUnit
law:spec_financial_transaction_act:item:3_2,law:spec_financial_transaction_act,law:spec_financial_transaction_act:paragraph:3,item,2.,,2. 제10조에 따라 특정금융거래정보의 제공을 요구받은 건수 및 제공한 건수,20240719,0003001,LegalUnit
law:spec_financial_transaction_act:item:3_2의2,law:spec_financial_transaction_act,law:spec_financial_transaction_act:paragraph:3,item,2의2.,,2의2. 제10조의2에 따른 통보 및 통보유예 현황에 관한 통계자료,20240719,0003001,LegalUnit
law:spec_financial_transaction_act:item:3_3,law:spec_financial_transaction_act,law:spec_financial_transaction_act:paragraph:3,item,3.,,3. 제11조에 따라 외국금융정보분석기구와 정보를 교환한 건수,20240719,0003001,LegalUnit
